Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Anderson Packers,NBA,1950,1950,1,64,37,27,.578,1,0,0,0
Baltimore Bullets,NBA/BAA,1948,1955,8,450,158,292,.351,3,0,0,1
Chicago Stags,NBA/BAA,1947,1950,4,237,145,92,.612,4,1,0,0
Cleveland Rebels,BAA,1947,1947,1,60,30,30,.500,1,0,0,0
Denver Nuggets,NBA,1950,1950,1,62,11,51,.177,0,0,0,0
Detroit Falcons,BAA,1947,1947,1,60,20,40,.333,0,0,0,0
Indianapolis Jets,BAA,1949,1949,1,60,18,42,.300,0,0,0,0
Indianapolis Olympians,NBA,1950,1953,4,269,132,137,.491,4,1,0,0
Kentucky Colonels,ABA,1968,1976,9,744,448,296,.602,9,2,0,1
Memphis Sounds,ABA,1968,1975,8,660,275,385,.417,4,1,0,0
Memphis Sounds,ABA,1975,1975,1,84,27,57,.321,1,0,0,0
Memphis Tams,ABA,1973,1974,2,168,45,123,.268,0,0,0,0
Memphis Pros,ABA,1971,1972,2,168,67,101,.399,1,0,0,0
New Orleans Buccaneers,ABA,1968,1970,3,240,136,104,.567,2,1,0,0
Pittsburgh Condors,ABA,1968,1972,5,408,180,228,.441,2,1,0,1
Pittsburgh Condors,ABA,1971,1972,2,168,61,107,.363,0,0,0,0
Minnesota Pipers,ABA,1969,1969,1,78,36,42,.462,1,0,0,0
Pittsburgh Pipers,ABA,1968,1970,2,162,83,79,.512,1,1,0,1
Pittsburgh Ironmen,BAA,1947,1947,1,60,15,45,.250,0,0,0,0
Providence Steam Rollers,BAA,1947,1949,3,168,46,122,.274,0,0,0,0
San Diego Sails,ABA,1973,1976,4,263,101,162,.384,2,0,0,0
San Diego Sails,ABA,1976,1976,1,11,3,8,.273,0,0,0,0
San Diego Conquistadors,ABA,1973,1975,3,252,98,154,.389,2,0,0,0
Sheboygan Red Skins,NBA,1950,1950,1,62,22,40,.355,1,0,0,0
Spirits of St. Louis,ABA,1968,1976,9,744,334,410,.449,5,1,0,0
Spirits of St. Louis,ABA,1975,1976,2,168,67,101,.399,1,0,0,0
Carolina Cougars,ABA,1970,1974,5,420,215,205,.512,3,1,0,0
Houston Mavericks,ABA,1968,1969,2,156,52,104,.333,1,0,0,0
St. Louis Bombers,NBA/BAA,1947,1950,4,237,122,115,.515,3,1,0,0
The Floridians,ABA,1968,1972,5,408,189,219,.463,4,0,0,0
The Floridians,ABA,1971,1972,2,168,73,95,.435,2,0,0,0
Miami Floridians,ABA,1969,1970,2,162,66,96,.407,1,0,0,0
Minnesota Muskies,ABA,1968,1968,1,78,50,28,.641,1,0,0,0
Toronto Huskies,BAA,1947,1947,1,60,22,38,.367,0,0,0,0
Utah Stars,ABA,1968,1976,9,676,366,310,.541,6,3,0,1
Utah Stars,ABA,1971,1976,6,436,265,171,.608,5,3,0,1
Los Angeles Stars,ABA,1969,1970,2,162,76,86,.469,1,0,0,0
Anaheim Amigos,ABA,1968,1968,1,78,25,53,.321,0,0,0,0
Virginia Squires,ABA,1968,1976,9,743,326,417,.439,6,2,0,1
Virginia Squires,ABA,1971,1976,6,503,200,303,.398,4,1,0,0
Washington Capitols,ABA,1970,1970,1,84,44,40,.524,1,0,0,0
Oakland Oaks,ABA,1968,1969,2,156,82,74,.526,1,1,0,1
Washington Capitols,NBA/BAA,1947,1951,5,271,157,114,.579,4,2,0,0
Waterloo Hawks,NBA,1950,1950,1,62,19,43,.306,0,0,0,0
